
======================================================================
  CELL: arm=off  corpus=openr1-mix-ext  seed=0  steps=20000
  [per_token] step  16400  loss 4.2627  lr 5.12e-05
  [per_token] step  16500  loss 3.9079  lr 5.01e-05
  [per_token] step  16600  loss 4.1472  lr 4.90e-05
  [per_token] step  16700  loss 4.1831  lr 4.79e-05
  [per_token] step  16800  loss 3.8292  lr 4.69e-05
  [per_token] step  16900  loss 3.5924  lr 4.58e-05
  [per_token] step  17000  loss 3.9452  lr 4.49e-05
  [per_token] step  17100  loss 3.7740  lr 4.39e-05
  [per_token] step  17200  loss 4.0453  lr 4.30e-05
  [per_token] step  17300  loss 3.8718  lr 4.21e-05
  [per_token] step  17400  loss 3.8555  lr 4.12e-05
  [per_token] step  17500  loss 3.7807  lr 4.04e-05
  [per_token] step  17600  loss 3.8032  lr 3.96e-05
  [per_token] step  17700  loss 4.0018  lr 3.88e-05
  [per_token] step  17800  loss 3.5899  lr 3.81e-05
  [per_token] step  17900  loss 3.8101  lr 3.74e-05
  [per_token] step  18000  loss 4.0611  lr 3.67e-05
  [per_token] step  18100  loss 3.8794  lr 3.60e-05
  [per_token] step  18200  loss 3.5844  lr 3.54e-05
  [per_token] step  18300  loss 4.0421  lr 3.48e-05
  [per_token] step  18400  loss 3.7995  lr 3.43e-05
  [per_token] step  18500  loss 4.0011  lr 3.38e-05
  [per_token] step  18600  loss 3.9352  lr 3.33e-05
  [per_token] step  18700  loss 3.7429  lr 3.28e-05
  [per_token] step  18800  loss 3.7360  lr 3.24e-05
  [per_token] step  18900  loss 4.1250  lr 3.20e-05
  [per_token] step  19000  loss 3.8941  lr 3.17e-05
  [per_token] step  19100  loss 3.7379  lr 3.14e-05
  [per_token] step  19200  loss 4.1376  lr 3.11e-05
  [per_token] step  19300  loss 3.6975  lr 3.08e-05
  [per_token] step  19400  loss 3.8351  lr 3.06e-05
  [per_token] step  19500  loss 3.9757  lr 3.04e-05
  [per_token] step  19600  loss 3.8554  lr 3.03e-05
  [per_token] step  19700  loss 3.6846  lr 3.02e-05
  [per_token] step  19800  loss 3.9040  lr 3.01e-05
  [per_token] step  19900  loss 3.6417  lr 3.00e-05
  [per_token] step  20000  loss 3.8323  lr 3.00e-05

======================================================================
  CELL: arm=global  corpus=openr1-mix-ext  seed=0  steps=20000
======================================================================
  [global] step      1  loss 10.8752  lr 3.00e-06
  [global] step    100  loss 7.5186  lr 3.00e-04
  [global] step    200  loss 6.8174  lr 3.00e-04
  [global] step    300  loss 6.6609  lr 3.00e-04
  [global] step    400  loss 6.0395  lr 3.00e-04
  [global] step    500  loss 5.9161  lr 3.00e-04
  [global] step    600  loss 5.7417  lr 3.00e-04
  [global] step    700  loss 5.9393  lr 2.99e-04
  [global] step    800  loss 5.2012  lr 2.99e-04
  [global] step    900  loss 5.6338  lr 2.99e-04
  [global] step   1000  loss 5.3211  lr 2.99e-04
  [global] step   1100  loss 5.5233  lr 2.98e-04
  [global] step   1200  loss 5.2565  lr 2.98e-04
  [global] step   1300  loss 5.5877  lr 2.98e-04
  [global] step   1400  loss 5.4299  lr 2.97e-04
  [global] step   1500  loss 4.5875  lr 2.97e-04
  [global] step   1600  loss 5.2116  lr 2.96e-04
  [global] step   1700  loss 5.0127  lr 2.96e-04
  [global] step   1800  loss 5.3638  lr 2.95e-04
  [global] step   1900  loss 4.8096  lr 2.95e-04
  [global] step   2000  loss 4.6104  lr 2.94e-04
  [global] step   2100  loss 5.0163  lr 2.93e-04
  [global] step   2200  loss 4.5467  lr 2.93e-04
  [global] step   2300  loss 4.5403  lr 2.92e-04
  [global] step   2400  loss 4.6070  lr 2.91e-04
  [global] step   2500  loss 4.9456  lr 2.90e-04
  [global] step   2600  loss 4.9832  lr 2.90e-04
  [global] step   2700  loss 4.5318  lr 2.89e-04
  [global] step   2800  loss 4.3786  lr 2.88e-04
  [global] step   2900  loss 4.9618  lr 2.87e-04
  [global] step   3000  loss 4.5676  lr 2.86e-04
  [global] step   3100  loss 4.7659  lr 2.85e-04
  [global] step   3200  loss 4.3919  lr 2.84e-04
  [global] step   3300  loss 4.7707  lr 2.83e-04
  [global] step   3400  loss 4.7468  lr 2.82e-04
  [global] step   3500  loss 4.4468  lr 2.81e-04
  [global] step   3600  loss 4.2547  lr 2.80e-04
  [global] step   3700  loss 4.6543  lr 2.79e-04
  [global] step   3800  loss 4.5534  lr 2.78e-04
  [global] step   3900  loss 4.3949  lr 2.76e-04
  [global] step   4000  loss 4.7077  lr 2.75e-04
  [global] step   4100  loss 4.5080  lr 2.74e-04
  [global] step   4200  loss 4.5245  lr 2.73e-04
  [global] step   4300  loss 4.1373  lr 2.71e-04
  [global] step   4400  loss 4.5697  lr 2.70e-04
  [global] step   4500  loss 4.3544  lr 2.69e-04
  [global] step   4600  loss 4.5369  lr 2.67e-04
  [global] step   4700  loss 4.5247  lr 2.66e-04
  [global] step   4800  loss 4.5119  lr 2.65e-04
  [global] step   4900  loss 4.6001  lr 2.63e-04
  [global] step   5000  loss 4.3216  lr 2.62e-04
  [global] step   5100  loss 4.9100  lr 2.60e-04
